offer_id;lat;lon;bfs_number;bfs_name
7484770;47.52539443969727;9.037678718566896;4711;Affeltrangen
7191131;46.51074600219727;6.560527801513672;5648;Saint-Sulpice (VD)
7503280;47.05097579956055;8.585723876953125;1374;Steinerberg
7503178;47.52544784545898;7.570532321929932;2767;Bottmingen
6713235;47.26997375488281;8.203201293945312;4131;Beinwil am See
7502946;47.36670684814453;7.956192493438721;2497;Obergösgen
7503014;47.132598876953125;7.543874263763428;533;Bätterkinden
7502925;47.46720123291016;8.51368522644043;92;Oberglatt
7489031;46.96787643432617;6.859399795532227;6416;Milvignes
7502747;46.5151596069336;6.687925815582275;5606;Lutry
7502214;47.12444686889648;9.491602897644045;3275;Sevelen
7497048;46.39980697631836;6.224734306335449;5724;Nyon
7501625;47.46681213378906;7.84629487991333;2846;Gelterkinden
7414340;45.856388092041016;9.03864288330078;5269;Breggia
